img,title,link,stepbystep,cuisine,portions,time,ingredients,favourite,likes,dislikes
https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/130829212936-130904175947-p-O-frittata-s-brokkoli-sladkim-percem.jpg,Фриттата с брокколи и сладким перцем,https://eda.ru/recepty/zavtraki/frittata-s-brokkoli-sladkim-percem-17602,1,Итальянская кухня,4,15 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""6 штук""}', '{""id"": 13467, ""name"": ""Сладкий перец"", ""amount"": ""3 штуки""}', '{""id"": 13643, ""name"": ""Красный лук"", ""amount"": ""1 головка""}', '{""id"": 13424, ""name"": ""Петрушка"", ""amount"": ""20 г""}', '{""id"": 13662, ""name"": ""Капуста брокколи"", ""amount"": ""150 г""}', '{""id"": 13427, ""name"": ""Лимон"", ""amount"": ""¼ штуки""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""50 мл""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""2 зубчика""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""30 г""}', '{""id"": 13466, ""name"": ""Тимьян"", ""amount"": ""1 пучок""}', '{""id"": 13615, ""name"": ""Мускатный орех"", ""amount"": ""по вкусу""}', '{""id"": 13592, ""name"": ""Паприка"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",10297,387,32
https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/110811142241-140331123725-p-O-jaichnica-v-hlebe.jpg,Яичница в хлебе,https://eda.ru/recepty/zavtraki/jaichnica-v-hlebe-21427,0,,1,10 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13454, ""name"": ""Белый хлеб"", ""amount"": ""1 кусок""}']",3788,383,46
https://img01.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/151031004547-160308110202-p-O-sirniki-originalnie.jpg,Сырники оригинальные,https://eda.ru/recepty/zavtraki/sirniki-originalnie-29050,0,Украинская кухня,3,35 минут,"['{""id"": 13493, ""name"": ""Творог"", ""amount"": ""350 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""2 столовые ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""щепотка""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""5 столовых ложек""}', '{""id"": 13590, ""name"": ""Сода"", ""amount"": ""½ чайной ложки""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""5 столовых ложек""}']",5644,365,56
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/170214161608-170215105403-p-O-pishnie-amerikanskie-pankejki.jpg,Пышные американские панкейки,https://eda.ru/recepty/zavtraki/pishnie-amerikanskie-pankejki-42716,0,Американская кухня,4,15 минут,"['{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""100 мл""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""40 г""}', '{""id"": 13672, ""name"": ""Разрыхлитель"", ""amount"": ""5 г""}', '{""id"": 13502, ""name"": ""Ванильный сахар"", ""amount"": ""5 г""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""120 г""}']",6161,359,42
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120214160714-140716154014-p-O-chesnochnij-hleb-garlic-bread.jpg,Чесночный хлеб (garlic bread),https://eda.ru/recepty/zavtraki/chesnochnij-hleb-garlic-bread-21155,0,Американская кухня,2,25 минут,"['{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""100 г""}', '{""id"": 13641, ""name"": ""Французский багет"", ""amount"": ""1 штука""}', '{""id"": 13586, ""name"": ""Зелень"", ""amount"": ""50 г""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""1 зубчик""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",7888,335,37
https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/160717170530-160725202015-p-O-oladi-iz-kabachkov-s-tertym-syrom-i-chesnokom.jpg,Оладьи из кабачков с тертым сыром и чесноком,https://eda.ru/recepty/zavtraki/oladi-iz-kabachkov-s-tertym-syrom-i-chesnokom-36523,0,Русская кухня,4,30 минут,"['{""id"": 13539, ""name"": ""Кабачки"", ""amount"": ""1 штука""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""1 зубчик""}', '{""id"": 15464, ""name"": ""Тертый сыр"", ""amount"": ""50 г""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1 столовая ложка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",5233,306,55
https://img01.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120130134334-120214122934-p-O-puding-tvorozhnij-s-izjumom-jablokami.jpg,Пудинг творожный с изюмом и яблоками,https://eda.ru/recepty/zavtraki/puding-tvorozhnij-s-izjumom-jablokami-14805,1,Британская кухня,4,,"['{""id"": 13493, ""name"": ""Творог"", ""amount"": ""500 г""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""½ стакана""}', '{""id"": 13455, ""name"": ""Манная крупа"", ""amount"": ""2 столовые ложки""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""3 столовые ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13434, ""name"": ""Изюм"", ""amount"": ""2 столовые ложки""}', '{""id"": 13447, ""name"": ""Яблоко"", ""amount"": ""2 штуки""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""7 столовых ложек""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""50 г""}', '{""id"": 13671, ""name"": ""Ванилин"", ""amount"": ""по вкусу""}']",5259,281,36
https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131083243-170715110036-p-O-risovaja-kasha-na-moloke.jpg,Рисовая каша на молоке,https://eda.ru/recepty/zavtraki/risovaja-kasha-na-moloke-15101,0,,4,,"['{""id"": 13435, ""name"": ""Рис"", ""amount"": ""1 стакан""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""4 стакана""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""1 столовая ложка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""¼ чайной ложки""}']",4386,279,33
https://img01.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/170210144850-170306091249-p-O-vozdushnie-tonkie-blini-na-moloke.jpg,Воздушные тонкие блины на молоке,https://eda.ru/recepty/zavtraki/vozdushnie-tonkie-blini-na-moloke-36589,0,Русская кухня,12,25 минут,"['{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""500 мл""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""щепотка""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""3 столовые ложки""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1,5 стакана""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""2 столовые ложки""}', '{""id"": 13672, ""name"": ""Разрыхлитель"", ""amount"": ""на кончике ножа""}']",2540,273,38
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/110825150222-130314094937-p-O-zharenij-sir-v-lavashe.jpg,Жареный сыр в лаваше,https://eda.ru/recepty/zavtraki/zharenij-sir-v-lavashe-36289,0,,6,15 минут,"['{""id"": 14144, ""name"": ""Армянский лаваш"", ""amount"": ""1 штука""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""по вкусу""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""по вкусу""}']",4700,262,26
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131111458-120213190533-p-O-grechnevij-zavtrak.jpg,Гречневый завтрак,https://eda.ru/recepty/zavtraki/grechnevij-zavtrak-22397,0,Русская кухня,4,1 час 20 минут,"['{""id"": 13564, ""name"": ""Гречневая крупа"", ""amount"": ""1 стакан""}', '{""id"": 14126, ""name"": ""Рубленая петрушка"", ""amount"": ""по вкусу""}', '{""id"": 15376, ""name"": ""Рубленная кинза (кориандр)"", ""amount"": ""по вкусу""}', '{""id"": 15567, ""name"": ""Рубленный стебель сельдерея "", ""amount"": ""по вкусу""}', '{""id"": 13427, ""name"": ""Лимон"", ""amount"": ""½ штуки""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""2 столовые ложки""}', '{""id"": 13570, ""name"": ""Соевый соус"", ""amount"": ""по вкусу""}']",4195,260,28
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120213175531-1202131756052-p-O-jaichnica-po-francuzski.jpg,Яичница по‑французски,https://eda.ru/recepty/zavtraki/jaichnica-po-francuzski-16731,0,Французская кухня,4,15 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""5 штук""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""1 банка""}', '{""id"": 13834, ""name"": ""Пряности"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",3993,252,51
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/161026181903-161108050938-p-O-loranskij-pirog-s-kuricej-i-gribami.jpg,Лоранский пирог с курицей и грибами,https://eda.ru/recepty/zavtraki/loranskij-pirog-s-kuricej-i-gribami-33627,0,,4,35 минут,"['{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""50 г""}', '{""id"": 13411, ""name"": ""Вода"", ""amount"": ""3 мл""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""½ чайной ложки""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""200 г""}', '{""id"": 13509, ""name"": ""Шампиньоны"", ""amount"": ""300 г""}', '{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""300 г""}', '{""id"": 15371, ""name"": ""Лук"", ""amount"": ""1 штука""}', '{""id"": 14139, ""name"": ""Специи"", ""amount"": ""по вкусу""}', '{""id"": 13832, ""name"": ""Сливки 20%-ные"", ""amount"": ""170 мл""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""150 г""}']",4976,251,15
https://img03.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/160201161818-160206070757-p-O-smetannie-lepeshki-s-sirom-i-zelenju.jpg,Сметанные лепешки с сыром и зеленью,https://eda.ru/recepty/zavtraki/smetannie-lepeshki-s-sirom-i-zelenju-40801,0,Европейская кухня,4,20 минут,"['{""id"": 13586, ""name"": ""Зелень"", ""amount"": ""100 г""}', '{""id"": 15464, ""name"": ""Тертый сыр"", ""amount"": ""200 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""200 г""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""2 столовые ложки""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""2 столовые ложки""}']",6502,243,80
https://img05.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131083410-170730125356-p-O-sirniki-tvorozhnie.jpg,Сырники творожные,https://eda.ru/recepty/zavtraki/sirniki-tvorozhnie-29122,0,Белорусская кухня,2,30 минут,"['{""id"": 13493, ""name"": ""Творог"", ""amount"": ""500 г""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""3 столовые ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""3 столовые ложки""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""2 столовые ложки""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""1 чайная ложка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",3693,237,53
https://img01.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120605145344-120729130927-p-O-francuzskie-grenki-k-zavtraku.jpg,Французские гренки к завтраку,https://eda.ru/recepty/zavtraki/francuzskie-grenki-k-zavtraku-32744,0,,1,10 минут,"['{""id"": 14591, ""name"": ""Батон"", ""amount"": ""3 куска""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""2 столовые ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""1 столовая ложка""}']",3036,237,20
https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131082312-160621155559-p-O-prostie-tonkie-blini-na-moloke.jpg,Простые тонкие блины на молоке,https://eda.ru/recepty/zavtraki/prostie-tonkie-blini-na-moloke-36382,0,Русская кухня,3,40 минут,"['{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""½ л""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""200 г""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13994, ""name"": ""Подсолнечное масло"", ""amount"": ""2 столовые ложки""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""1 столовая ложка""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13590, ""name"": ""Сода"", ""amount"": ""1 чайная ложка""}']",3136,237,58
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/160822164559-160904073032-p-O-kruassani-s-shokoladom.jpg,Круассаны с шоколадом,https://eda.ru/recepty/zavtraki/kruassani-s-shokoladom-30265,0,Французская кухня,12,1 час,"['{""id"": 13554, ""name"": ""Слоеное тесто"", ""amount"": ""2 штуки""}', '{""id"": 15638, ""name"": ""Тертый шоколад"", ""amount"": ""240 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13495, ""name"": ""Сахарная пудра"", ""amount"": ""50 г""}']",5051,231,22
https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/161012201757-161026081106-p-O-nezhnyy-omlet-s-gribami-speciyami-i-syrom.jpg,"Нежный омлет с грибами, специями и сыром",https://eda.ru/recepty/zavtraki/nezhnyy-omlet-s-gribami-speciyami-i-syrom-27081,0,Европейская кухня,2,15 минут,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""4 штуки""}', '{""id"": 13939, ""name"": ""Свежие шампиньоны"", ""amount"": ""4 штуки""}', '{""id"": 13965, ""name"": ""Твердый сыр"", ""amount"": ""50 г""}', '{""id"": 14008, ""name"": ""Сливки 25%-ные"", ""amount"": ""3 столовые ложки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 14473, ""name"": ""Прованские травы"", ""amount"": ""по вкусу""}']",4652,217,21
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/140518204129-150311205915-p-O-pshennaja-kasha-na-moloke.jpg,Пшенная каша на молоке,https://eda.ru/recepty/zavtraki/pshennaja-kasha-na-moloke-39801,0,Европейская кухня,2,30 минут,"['{""id"": 13710, ""name"": ""Пшено"", ""amount"": ""1 стакан""}', '{""id"": 13411, ""name"": ""Вода"", ""amount"": ""2 стакана""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""2 стакана""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""¼ чайной ложки""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""по вкусу""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""по вкусу""}']",1653,207,15
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120213175233-120214124256-p-O-zavtrak-detstva.jpg,Завтрак детства,https://eda.ru/recepty/zavtraki/zavtrak-detstva-22998,0,,1,5 минут,"['{""id"": 13449, ""name"": ""Морковь"", ""amount"": ""1 штука""}', '{""id"": 13447, ""name"": ""Яблоко"", ""amount"": ""1 штука""}', '{""id"": 13516, ""name"": ""Апельсины"", ""amount"": ""1 штука""}', '{""id"": 13434, ""name"": ""Изюм"", ""amount"": ""50 г""}', '{""id"": 13407, ""name"": ""Мед"", ""amount"": ""2 чайные ложки""}', '{""id"": 13558, ""name"": ""Орехи"", ""amount"": ""50 г""}', '{""id"": 14485, ""name"": ""Молотая корица"", ""amount"": ""по вкусу""}']",3948,205,23
https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/161012201757-161020145412-p-O-sirniki-s-brusnichno-rozmarinovim-varenem.jpg,Сырники с бруснично-розмариновым вареньем,https://eda.ru/recepty/zavtraki/sirniki-s-brusnichno-rozmarinovim-varenem-29217,1,Русская кухня,2,15 минут,"['{""id"": 13493, ""name"": ""Творог"", ""amount"": ""250 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""70 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""70 г""}', '{""id"": 13948, ""name"": ""Брусника"", ""amount"": ""100 г""}', '{""id"": 13407, ""name"": ""Мед"", ""amount"": ""55 г""}', '{""id"": 13819, ""name"": ""Розмарин"", ""amount"": ""1 стебель""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""35 г""}', '{""id"": 13408, ""name"": ""Ванильный стручок"", ""amount"": ""½ штуки""}', '{""id"": 13482, ""name"": ""Лимонный сок"", ""amount"": ""¼ чайной ложки""}', '{""id"": 13867, ""name"": ""Мак"", ""amount"": ""3 г""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",3306,202,15
https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120213175022-150309204809-p-O-jaichnica-v-pomidore.jpg,Яичница в помидоре,https://eda.ru/recepty/zavtraki/jaichnica-v-pomidore-14393,0,Еврейская кухня,2,10 минут,"['{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""4 штуки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""100 г""}', '{""id"": 13586, ""name"": ""Зелень"", ""amount"": ""1 пучок""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",3977,202,47
